iter	Passed	Remaining
0	50	50709
1	52	26102
2	52	17591
3	53	13319
4	54	10777
5	54	9065
6	55	7837
7	55	6915
8	56	6195
9	57	5650
10	57	5185
11	58	4790
12	58	4465
13	59	4182
14	59	3936
15	60	3720
16	63	3671
17	64	3519
18	65	3369
19	66	3250
20	66	3117
21	67	3001
22	68	2891
23	68	2789
24	69	2696
25	69	2614
26	70	2538
27	70	2463
28	71	2395
29	72	2329
30	72	2270
31	73	2214
32	73	2164
33	74	2116
34	74	2067
35	75	2023
36	76	1983
37	76	1943
38	77	1903
39	78	1885
40	79	1857
41	80	1826
42	80	1795
43	81	1766
44	82	1748
45	83	1721
46	83	1691
47	83	1662
48	84	1640
49	85	1619
50	85	1595
51	86	1572
52	86	1554
53	87	1531
54	88	1518
55	89	1501
56	89	1484
57	90	1465
58	90	1448
59	91	1432
60	92	1416
61	94	1430
62	95	1416
63	95	1403
64	96	1391
65	97	1376
66	97	1361
67	98	1346
68	98	1331
69	99	1318
70	99	1304
71	100	1290
72	100	1278
73	101	1268
74	101	1256
75	102	1245
76	103	1238
77	104	1232
78	104	1222
79	105	1215
80	107	1220
81	111	1249
82	112	1238
83	112	1228
84	113	1218
85	114	1213
86	114	1206
87	115	1196
88	116	1188
89	117	1184
90	117	1177
91	118	1170
92	119	1162
93	119	1156
94	120	1147
95	121	1142
96	121	1134
97	122	1126
98	123	1120
99	123	1113
100	124	1107
101	126	1110
102	128	1116
103	128	1111
104	129	1105
105	130	1098
106	130	1093
107	131	1087
108	133	1092
109	134	1086
110	134	1080
111	135	1074
112	135	1067
113	136	1060
114	136	1053
115	137	1049
116	138	1047
117	139	1045
118	140	1040
119	141	1034
120	141	1030
121	142	1023
122	142	1018
123	143	1015
124	144	1009
125	145	1009
126	145	1003
127	146	998
128	147	995
129	149	997
130	150	995
131	150	990
132	151	986
133	151	982
134	152	978
135	153	975
136	154	971
137	154	967
138	156	966
139	156	962
140	196	1194
141	196	1186
142	196	1179
143	197	1172
144	197	1165
145	198	1159
146	198	1153
147	199	1147
148	199	1141
149	200	1135
150	201	1130
151	202	1129
152	203	1124
153	204	1121
154	204	1115
155	205	1111
156	205	1105
157	206	1100
158	206	1094
159	207	1089
160	207	1082
161	208	1077
162	209	1073
163	209	1068
164	210	1063
165	210	1058
